"participant","line_orientation","accuracy_type","count"
27,"back_slash","miss_count",49
27,"forward_slash","miss_count",57
27,"vertical","miss_count",82
28,"back_slash","miss_count",49
28,"forward_slash","miss_count",57
28,"vertical","miss_count",96
29,"back_slash","miss_count",31
29,"forward_slash","miss_count",48
29,"vertical","miss_count",76
30,"back_slash","miss_count",46
30,"forward_slash","miss_count",54
30,"vertical","miss_count",44
31,"back_slash","miss_count",46
31,"forward_slash","miss_count",42
31,"vertical","miss_count",89
32,"back_slash","miss_count",96
32,"forward_slash","miss_count",76
32,"vertical","miss_count",123
33,"back_slash","miss_count",44
33,"forward_slash","miss_count",59
33,"vertical","miss_count",77
35,"back_slash","miss_count",56
35,"forward_slash","miss_count",63
35,"vertical","miss_count",85
36,"back_slash","miss_count",75
36,"forward_slash","miss_count",60
36,"vertical","miss_count",94
37,"back_slash","miss_count",45
37,"forward_slash","miss_count",53
37,"vertical","miss_count",72
38,"back_slash","miss_count",40
38,"forward_slash","miss_count",35
38,"vertical","miss_count",79
39,"back_slash","miss_count",99
39,"forward_slash","miss_count",106
39,"vertical","miss_count",67
40,"back_slash","miss_count",52
40,"forward_slash","miss_count",53
40,"vertical","miss_count",41
41,"back_slash","miss_count",59
41,"forward_slash","miss_count",62
41,"vertical","miss_count",78
42,"back_slash","miss_count",37
42,"forward_slash","miss_count",26
42,"vertical","miss_count",112
43,"back_slash","miss_count",57
43,"forward_slash","miss_count",53
43,"vertical","miss_count",101
44,"back_slash","miss_count",42
44,"forward_slash","miss_count",51
44,"vertical","miss_count",99
45,"back_slash","miss_count",50
45,"forward_slash","miss_count",67
45,"vertical","miss_count",83
46,"back_slash","miss_count",59
46,"forward_slash","miss_count",52
46,"vertical","miss_count",92
47,"back_slash","miss_count",26
47,"forward_slash","miss_count",28
47,"vertical","miss_count",87
48,"back_slash","miss_count",33
48,"forward_slash","miss_count",40
48,"vertical","miss_count",79
49,"back_slash","miss_count",48
49,"forward_slash","miss_count",66
49,"vertical","miss_count",96
50,"back_slash","miss_count",47
50,"forward_slash","miss_count",35
50,"vertical","miss_count",82
51,"back_slash","miss_count",38
51,"forward_slash","miss_count",64
51,"vertical","miss_count",65
52,"back_slash","miss_count",32
52,"forward_slash","miss_count",39
52,"vertical","miss_count",78
53,"back_slash","miss_count",39
53,"forward_slash","miss_count",51
53,"vertical","miss_count",87
54,"back_slash","miss_count",38
54,"forward_slash","miss_count",31
54,"vertical","miss_count",105
57,"back_slash","miss_count",46
57,"forward_slash","miss_count",46
57,"vertical","miss_count",86
58,"back_slash","miss_count",30
58,"forward_slash","miss_count",32
58,"vertical","miss_count",130
27,"back_slash","hits",59
27,"forward_slash","hits",77
27,"vertical","hits",51
28,"back_slash","hits",66
28,"forward_slash","hits",79
28,"vertical","hits",52
29,"back_slash","hits",85
29,"forward_slash","hits",88
29,"vertical","hits",64
30,"back_slash","hits",85
30,"forward_slash","hits",70
30,"vertical","hits",85
31,"back_slash","hits",92
31,"forward_slash","hits",97
31,"vertical","hits",37
32,"back_slash","hits",53
32,"forward_slash","hits",66
32,"vertical","hits",32
33,"back_slash","hits",98
33,"forward_slash","hits",79
33,"vertical","hits",62
35,"back_slash","hits",73
35,"forward_slash","hits",89
35,"vertical","hits",60
36,"back_slash","hits",60
36,"forward_slash","hits",77
36,"vertical","hits",71
37,"back_slash","hits",79
37,"forward_slash","hits",95
37,"vertical","hits",68
38,"back_slash","hits",78
38,"forward_slash","hits",90
38,"vertical","hits",73
39,"back_slash","hits",29
39,"forward_slash","hits",43
39,"vertical","hits",90
40,"back_slash","hits",77
40,"forward_slash","hits",70
40,"vertical","hits",93
41,"back_slash","hits",68
41,"forward_slash","hits",77
41,"vertical","hits",77
42,"back_slash","hits",72
42,"forward_slash","hits",132
42,"vertical","hits",53
43,"back_slash","hits",76
43,"forward_slash","hits",83
43,"vertical","hits",66
44,"back_slash","hits",84
44,"forward_slash","hits",93
44,"vertical","hits",37
45,"back_slash","hits",85
45,"forward_slash","hits",94
45,"vertical","hits",69
46,"back_slash","hits",80
46,"forward_slash","hits",88
46,"vertical","hits",57
47,"back_slash","hits",105
47,"forward_slash","hits",115
47,"vertical","hits",45
48,"back_slash","hits",77
48,"forward_slash","hits",98
48,"vertical","hits",81
49,"back_slash","hits",52
49,"forward_slash","hits",75
49,"vertical","hits",68
50,"back_slash","hits",76
50,"forward_slash","hits",88
50,"vertical","hits",70
51,"back_slash","hits",92
51,"forward_slash","hits",81
51,"vertical","hits",79
52,"back_slash","hits",82
52,"forward_slash","hits",93
52,"vertical","hits",51
53,"back_slash","hits",85
53,"forward_slash","hits",86
53,"vertical","hits",55
54,"back_slash","hits",96
54,"forward_slash","hits",104
54,"vertical","hits",59
57,"back_slash","hits",102
57,"forward_slash","hits",81
57,"vertical","hits",56
58,"back_slash","hits",103
58,"forward_slash","hits",113
58,"vertical","hits",36
27,"back_slash","false_alarms",24
27,"forward_slash","false_alarms",44
27,"vertical","false_alarms",9
28,"back_slash","false_alarms",28
28,"forward_slash","false_alarms",41
28,"vertical","false_alarms",13
29,"back_slash","false_alarms",24
29,"forward_slash","false_alarms",16
29,"vertical","false_alarms",5
30,"back_slash","false_alarms",9
30,"forward_slash","false_alarms",12
30,"vertical","false_alarms",9
31,"back_slash","false_alarms",10
31,"forward_slash","false_alarms",31
31,"vertical","false_alarms",3
32,"back_slash","false_alarms",31
32,"forward_slash","false_alarms",28
32,"vertical","false_alarms",17
33,"back_slash","false_alarms",17
33,"forward_slash","false_alarms",18
33,"vertical","false_alarms",5
35,"back_slash","false_alarms",14
35,"forward_slash","false_alarms",25
35,"vertical","false_alarms",9
36,"back_slash","false_alarms",26
36,"forward_slash","false_alarms",20
36,"vertical","false_alarms",22
37,"back_slash","false_alarms",17
37,"forward_slash","false_alarms",14
37,"vertical","false_alarms",6
38,"back_slash","false_alarms",12
38,"forward_slash","false_alarms",16
38,"vertical","false_alarms",10
39,"back_slash","false_alarms",23
39,"forward_slash","false_alarms",27
39,"vertical","false_alarms",76
40,"back_slash","false_alarms",6
40,"forward_slash","false_alarms",13
40,"vertical","false_alarms",11
41,"back_slash","false_alarms",24
41,"forward_slash","false_alarms",17
41,"vertical","false_alarms",13
42,"back_slash","false_alarms",6
42,"forward_slash","false_alarms",15
42,"vertical","false_alarms",1
43,"back_slash","false_alarms",23
43,"forward_slash","false_alarms",21
43,"vertical","false_alarms",19
44,"back_slash","false_alarms",21
44,"forward_slash","false_alarms",27
44,"vertical","false_alarms",2
45,"back_slash","false_alarms",17
45,"forward_slash","false_alarms",22
45,"vertical","false_alarms",7
46,"back_slash","false_alarms",22
46,"forward_slash","false_alarms",25
46,"vertical","false_alarms",13
47,"back_slash","false_alarms",8
47,"forward_slash","false_alarms",15
47,"vertical","false_alarms",0
48,"back_slash","false_alarms",8
48,"forward_slash","false_alarms",19
48,"vertical","false_alarms",5
49,"back_slash","false_alarms",35
49,"forward_slash","false_alarms",47
49,"vertical","false_alarms",23
50,"back_slash","false_alarms",8
50,"forward_slash","false_alarms",24
50,"vertical","false_alarms",7
51,"back_slash","false_alarms",12
51,"forward_slash","false_alarms",6
51,"vertical","false_alarms",9
52,"back_slash","false_alarms",22
52,"forward_slash","false_alarms",15
52,"vertical","false_alarms",1
53,"back_slash","false_alarms",12
53,"forward_slash","false_alarms",29
53,"vertical","false_alarms",9
54,"back_slash","false_alarms",12
54,"forward_slash","false_alarms",13
54,"vertical","false_alarms",4
57,"back_slash","false_alarms",19
57,"forward_slash","false_alarms",9
57,"vertical","false_alarms",6
58,"back_slash","false_alarms",18
58,"forward_slash","false_alarms",14
58,"vertical","false_alarms",1
